"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C4","100nF","~","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","2",""
"C2","22uF","~","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","1",""
"C3","1uF","~","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","1",""
"IC1","ESP32-WROOM-32E-N4","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32e_esp32-wroom-32ue_datasheet_en.pdf","User_defined_footprints:ESP32WROOM32EN4","1",""
"J1,J2","Conn_01x14_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x14_P2.54mm_Vertical","2",""
"J3","UART","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"R1,R2","10kR","~","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","2",""
"SW1","EN","~","Button_Switch_SMD:SW_Push_1P1T_XKB_TS-1187A","1",""
"SW2","BOOT","~","Button_Switch_SMD:SW_Push_1P1T_XKB_TS-1187A","1",""
