"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","47uF","~","User_defined_footprints:CAPPM3528X210N","1",""
"D1,D2","LED","~","Diode_SMD:D_0402_1005Metric_Pad0.77x0.64mm_HandSolder","2",""
"IC1","DRV8210DRLR","https://www.ti.com/lit/ds/symlink/drv8210.pdf?ts=1641207817417&ref_url=https%253A%252F%252Fwww.google.com%252F","User_defined_footprints:SOTFL50P160X60-6N","1",""
"J1,J2","Conn_01x03_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","2",""
"R1,R2","1kR","~","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","2",""
