"Reference","Value","Datasheet","Footprint","Qty","DNP"
"D1,D2,D3,D4","LED","~","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","4",""
"J1","Conn_01x06_Socket","~","Connector_JST:JST_XH_B6B-XH-AM_1x06_P2.50mm_Vertical","1",""
"R1,R6,R7,R12","330R","~","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","4",""
"R2,R4,R8,R9","22kR","~","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","4",""
"R3,R5,R10,R11","110R","~","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","4",""
"RV1","10kR","~","User_defined_footprints:Potencjometr 3,2x3,4","1",""
"U1","LM2901","https://www.st.com/resource/en/datasheet/lm2901.pdf","User_defined_footprints:SOIC127P600X175-14N","1",""
"U2,U3,U4,U5","ITR8307-S17-TR8","https://datasheet.lcsc.com/szlcsc/1810010232_Everlight-Elec-ITR8307-S17-TR8-B_C81632.pdf","OptoDevice:Everlight_ITR1201SR10AR","4",""
